index,generated,result,format_properties
241,"<html>
<head>
<title>Title 1</title>
<title>Title 2</title>
<title>Title 3</title>
<title>Title 4</title>
</head>
<body>
<h1>Heading 1</h1>
<h1>Heading 2</h1>
<h1>Heading 3</h1>
<h1>Heading 4</h1>
<h2>Subheading 1</h2>
<h2>Subheading 2</h2>
<h2>Subheading 3</h2>
<h2>Subheading 4</h2>
<p>Paragraph 1</p>
<p>Paragraph 2</p>
<p>Paragraph 3</p>
<p>Paragraph 4</p>
<footer>Footer 1</footer>
<footer>Footer 2</footer>
<footer>Footer 3</footer>
<footer>Footer 4</footer>
</body>
</html>",0,"{'config': 'simple', 'mode': 'non_nested', 'no_of_tags': {'body': 1, 'footer': 4, 'h1': 4, 'h2': 4, 'head': 1, 'html': 1, 'p': 4, 'title': 4}}"
242,"<html>
<head>
<title>Title 1</title>
<title>Title 2</title>
<title>Title 3</title>
<title>Title 4</title>
<title>Title 5</title>
<title>Title 6</title>
<title>Title 7</title>
<title>Title 8</title>
<title>Title 9</title>
<title>Title 10</title>
</head>
<body>
<h1>Heading 1</h1>
<h1>Heading 2</h1>
<h1>Heading 3</h1>
<h1>Heading 4</h1>
<h1>Heading 5</h1>
<h1>Heading 6</h1>
<h1>Heading 7</h1>
<h1>Heading 8</h1>
<h1>Heading 9</h1>
<h1>Heading 10</h1>
<h2>Subheading 1</h2>
<h2>Subheading 2</h2>
<h2>Subheading 3</h2>
<h2>Subheading 4</h2>
<h2>Subheading 5</h2>
<h2>Subheading 6</h2>
<h2>Subheading 7</h2>
<h2>Subheading 8</h2>
<h2>Subheading 9</h2>
<h2>Subheading 10</h2>
<p>Paragraph 1</p>
<p>Paragraph 2</p>
<p>Paragraph 3</p>
<p>Paragraph 4</p>
<p>Paragraph 5</p>
<p>Paragraph 6</p>
<p>Paragraph 7</p>
<p>Paragraph 8</p>
<p>Paragraph 9</p>
<p>Paragraph 10</p>
<footer>Footer 1</footer>
<footer>Footer 2</footer>
<footer>Footer 3</footer>
<footer>Footer 4</footer>
<footer>Footer 5</footer>
<footer>Footer 6</footer>
<footer>Footer 7</footer>
<footer>Footer 8</footer>
<footer>Footer 9</footer>
<footer>Footer 10</footer>
</body>
</html>",0,"{'config': 'simple', 'mode': 'non_nested', 'no_of_tags': {'body': 1, 'footer': 10, 'h1': 10, 'h2': 10, 'head': 1, 'html': 1, 'p': 10, 'title': 10}}"
243,"<html>
<head>
<title>Title 1</title>
<title>Title 2</title>
<title>Title 3</title>
<title>Title 4</title>
<title>Title 5</title>
</head>
<body>
<h1>Heading 1</h1>
<h1>Heading 2</h1>
<h1>Heading 3</h1>
<h1>Heading 4</h1>
<h1>Heading 5</h1>
<h2>Subheading 1</h2>
<h2>Subheading 2</h2>
<h2>Subheading 3</h2>
<h2>Subheading 4</h2>
<h2>Subheading 5</h2>
<p>Paragraph 1</p>
<p>Paragraph 2</p>
<p>Paragraph 3</p>
<p>Paragraph 4</p>
<p>Paragraph 5</p>
<footer>Footer 1</footer>
<footer>Footer 2</footer>
<footer>Footer 3</footer>
<footer>Footer 4</footer>
<footer>Footer 5</footer>
</body>
</html>",0,"{'config': 'simple', 'mode': 'non_nested', 'no_of_tags': {'body': 1, 'footer': 5, 'h1': 5, 'h2': 5, 'head': 1, 'html': 1, 'p': 5, 'title': 5}}"
244,"<html>
<head>
<title>Title 1</title>
<title>Title 2</title>
</head>
<body>
<h1>Heading 1</h1>
<h1>Heading 2</h1>
<h2>Subheading 1</h2>
<h2>Subheading 2</h2>
<p>Paragraph 1</p>
<p>Paragraph 2</p>
<footer>Footer 1</footer>
<footer>Footer 2</footer>
</body>
</html>",0,"{'config': 'simple', 'mode': 'non_nested', 'no_of_tags': {'body': 1, 'footer': 2, 'h1': 2, 'h2': 2, 'head': 1, 'html': 1, 'p': 2, 'title': 2}}"
245,"<html>
<head>
<title>Title 1</title>
<title>Title 2</title>
<title>Title 3</title>
<title>Title 4</title>
<title>Title 5</title>
</head>
<body>
<h1>Heading 1</h1>
<h1>Heading 2</h1>
<h1>Heading 3</h1>
<h1>Heading 4</h1>
<h1>Heading 5</h1>
<h2>Subheading 1</h2>
<h2>Subheading 2</h2>
<h2>Subheading 3</h2>
<h2>Subheading 4</h2>
<h2>Subheading 5</h2>
<p>Paragraph 1</p>
<p>Paragraph 2</p>
<p>Paragraph 3</p>
<p>Paragraph 4</p>
<p>Paragraph 5</p>
<footer>Footer 1</footer>
<footer>Footer 2</footer>
<footer>Footer 3</footer>
<footer>Footer 4</footer>
<footer>Footer 5</footer>
</body>
</html>",0,"{'config': 'simple', 'mode': 'non_nested', 'no_of_tags': {'body': 1, 'footer': 5, 'h1': 5, 'h2': 5, 'head': 1, 'html': 1, 'p': 5, 'title': 5}}"
246,"<html>
<head>
<title>Title 1</title>
<title>Title 2</title>
</head>
<body>
<h1>Heading 1</h1>
<h1>Heading 2</h1>
<h2>Subheading 1</h2>
<h2>Subheading 2</h2>
<p>Paragraph 1</p>
<p>Paragraph 2</p>
<footer>Footer 1</footer>
<footer>Footer 2</footer>
</body>
</html>",0,"{'config': 'simple', 'mode': 'non_nested', 'no_of_tags': {'body': 1, 'footer': 2, 'h1': 2, 'h2': 2, 'head': 1, 'html': 1, 'p': 2, 'title': 2}}"
247,"<html>
<head>
<title>Title 1</title>
<title>Title 2</title>
<title>Title 3</title>
<title>Title 4</title>
<title>Title 5</title>
<title>Title 6</title>
</head>
<body>
<h1>Heading 1</h1>
<h1>Heading 2</h1>
<h1>Heading 3</h1>
<h1>Heading 4</h1>
<h1>Heading 5</h1>
<h1>Heading 6</h1>
<h2>Subheading 1</h2>
<h2>Subheading 2</h2>
<h2>Subheading 3</h2>
<h2>Subheading 4</h2>
<h2>Subheading 5</h2>
<h2>Subheading 6</h2>
<p>Paragraph 1</p>
<p>Paragraph 2</p>
<p>Paragraph 3</p>
<p>Paragraph 4</p>
<p>Paragraph 5</p>
<p>Paragraph 6</p>
<footer>Footer 1</footer>
<footer>Footer 2</footer>
<footer>Footer 3</footer>
<footer>Footer 4</footer>
<footer>Footer 5</footer>
<footer>Footer 6</footer>
</body>
</html>",0,"{'config': 'simple', 'mode': 'non_nested', 'no_of_tags': {'body': 1, 'footer': 6, 'h1': 6, 'h2': 6, 'head': 1, 'html': 1, 'p': 6, 'title': 6}}"
248,"<html>
<head>
<title>Title 1</title>
<title>Title 2</title>
<title>Title 3</title>
<title>Title 4</title>
<title>Title 5</title>
</head>
<body>
<h1>Heading 1</h1>
<h1>Heading 2</h1>
<h1>Heading 3</h1>
<h1>Heading 4</h1>
<h1>Heading 5</h1>
<h2>Subheading 1</h2>
<h2>Subheading 2</h2>
<h2>Subheading 3</h2>
<h2>Subheading 4</h2>
<h2>Subheading 5</h2>
<p>Paragraph 1</p>
<p>Paragraph 2</p>
<p>Paragraph 3</p>
<p>Paragraph 4</p>
<p>Paragraph 5</p>
<footer>Footer 1</footer>
<footer>Footer 2</footer>
<footer>Footer 3</footer>
<footer>Footer 4</footer>
<footer>Footer 5</footer>
</body>
</html>",0,"{'config': 'simple', 'mode': 'non_nested', 'no_of_tags': {'body': 1, 'footer': 5, 'h1': 5, 'h2': 5, 'head': 1, 'html': 1, 'p': 5, 'title': 5}}"
249,"<html>
<head>
<title>Title 1</title>
</head>
<body>
<h1>Heading 1</h1>
<h2>Subheading 1</h2>
<p>Paragraph 1</p>
<footer>Footer 1</footer>

<h1>Heading 2</h1>
<h2>Subheading 2</h2>
<p>Paragraph 2</p>
<footer>Footer 2</footer>

<h1>Heading 3</h1>
<h2>Subheading 3</h2>
<p>Paragraph 3</p>
<footer>Footer 3</footer>

<h1>Heading 4</h1>
<h2>Subheading 4</h2>
<p>Paragraph 4</p>
<footer>Footer 4</footer>

<h1>Heading 5</h1>
<h2>Subheading 5</h2>
<p>Paragraph 5</p>
<footer>Footer 5</footer>

<h1>Heading 6</h1>
<h2>Subheading 6</h2>
<p>Paragraph 6</p>
<footer>Footer 6</footer>

<h1>Heading 7</h1>
<h2>Subheading 7</h2>
<p>Paragraph 7</p>
<footer>Footer 7</footer>

<h1>Heading 8</h1>
<h2>Subheading 8</h2>
<p>Paragraph 8</p>
<footer>Footer 8</footer>

<h1>Heading 9</h1>
<h2>Subheading 9</h2>
<p>Paragraph 9</p>
<footer>Footer 9</footer>
</body>
</html>",0,"{'config': 'simple', 'mode': 'non_nested', 'no_of_tags': {'body': 1, 'footer': 9, 'h1': 9, 'h2': 9, 'head': 1, 'html': 1, 'p': 9, 'title': 9}}"
250,"<html>
<head>
<title>Title 1</title>
</head>
<body>
<h1>Heading 1</h1>
<h2>Subheading 1</h2>
<p>Paragraph 1</p>
<footer>Footer 1</footer>

<h1>Heading 2</h1>
<h2>Subheading 2</h2>
<p>Paragraph 2</p>
<footer>Footer 2</footer>

<h1>Heading 3</h1>
<h2>Subheading 3</h2>
<p>Paragraph 3</p>
<footer>Footer 3</footer>

<h1>Heading 4</h1>
<h2>Subheading 4</h2>
<p>Paragraph 4</p>
<footer>Footer 4</footer>

<h1>Heading 5</h1>
<h2>Subheading 5</h2>
<p>Paragraph 5</p>
<footer>Footer 5</footer>

<h1>Heading 6</h1>
<h2>Subheading 6</h2>
<p>Paragraph 6</p>
<footer>Footer 6</footer>

<h1>Heading 7</h1>
<h2>Subheading 7</h2>
<p>Paragraph 7</p>
<footer>Footer 7</footer>

<h1>Heading 8</h1>
<h2>Subheading 8</h2>
<p>Paragraph 8</p>
<footer>Footer 8</footer>

<h1>Heading 9</h1>
<h2>Subheading 9</h2>
<p>Paragraph 9</p>
<footer>Footer 9</footer>
</body>
</html>",0,"{'config': 'simple', 'mode': 'non_nested', 'no_of_tags': {'body': 1, 'footer': 9, 'h1': 9, 'h2': 9, 'head': 1, 'html': 1, 'p': 9, 'title': 9}}"
251,"<html>
<head>
<title>Title 1</title>
<title>Title 2</title>
<title>Title 3</title>
<title>Title 4</title>
<title>Title 5</title>
<title>Title 6</title>
<title>Title 7</title>
<title>Title 8</title>
</head>
<body>
<h1>Heading 1</h1>
<h1>Heading 2</h1>
<h1>Heading 3</h1>
<h1>Heading 4</h1>
<h1>Heading 5</h1>
<h1>Heading 6</h1>
<h1>Heading 7</h1>
<h1>Heading 8</h1>
<h2>Subheading 1</h2>
<h2>Subheading 2</h2>
<h2>Subheading 3</h2>
<h2>Subheading 4</h2>
<h2>Subheading 5</h2>
<h2>Subheading 6</h2>
<h2>Subheading 7</h2>
<h2>Subheading 8</h2>
<p>Paragraph 1</p>
<p>Paragraph 2</p>
<p>Paragraph 3</p>
<p>Paragraph 4</p>
<p>Paragraph 5</p>
<p>Paragraph 6</p>
<p>Paragraph 7</p>
<p>Paragraph 8</p>
<footer>Footer 1</footer>
<footer>Footer 2</footer>
<footer>Footer 3</footer>
<footer>Footer 4</footer>
<footer>Footer 5</footer>
<footer>Footer 6</footer>
<footer>Footer 7</footer>
<footer>Footer 8</footer>
</body>
</html>",0,"{'config': 'simple', 'mode': 'non_nested', 'no_of_tags': {'body': 1, 'footer': 8, 'h1': 8, 'h2': 8, 'head': 1, 'html': 1, 'p': 8, 'title': 8}}"
252,"<html>
<head>
<title>Title 1</title>
<title>Title 2</title>
<title>Title 3</title>
<title>Title 4</title>
</head>
<body>
<h1>Heading 1</h1>
<h1>Heading 2</h1>
<h1>Heading 3</h1>
<h1>Heading 4</h1>
<h2>Subheading 1</h2>
<h2>Subheading 2</h2>
<h2>Subheading 3</h2>
<h2>Subheading 4</h2>
<p>Paragraph 1</p>
<p>Paragraph 2</p>
<p>Paragraph 3</p>
<p>Paragraph 4</p>
<footer>Footer 1</footer>
<footer>Footer 2</footer>
<footer>Footer 3</footer>
<footer>Footer 4</footer>
</body>
</html>",0,"{'config': 'simple', 'mode': 'non_nested', 'no_of_tags': {'body': 1, 'footer': 4, 'h1': 4, 'h2': 4, 'head': 1, 'html': 1, 'p': 4, 'title': 4}}"
253,"<html>
<head>
<title>Title 1</title>
<title>Title 2</title>
</head>
<body>
<h1>Heading 1</h1>
<h1>Heading 2</h1>
<h2>Subheading 1</h2>
<h2>Subheading 2</h2>
<p>Paragraph 1</p>
<p>Paragraph 2</p>
<footer>Footer 1</footer>
<footer>Footer 2</footer>
</body>
</html>",0,"{'config': 'simple', 'mode': 'non_nested', 'no_of_tags': {'body': 1, 'footer': 2, 'h1': 2, 'h2': 2, 'head': 1, 'html': 1, 'p': 2, 'title': 2}}"
254,"<html>
<head>
<title>Title 1</title>
<title>Title 2</title>
</head>
<body>
<h1>Heading 1</h1>
<h1>Heading 2</h1>
<h2>Subheading 1</h2>
<h2>Subheading 2</h2>
<p>Paragraph 1</p>
<p>Paragraph 2</p>
<footer>Footer 1</footer>
<footer>Footer 2</footer>
</body>
</html>",0,"{'config': 'simple', 'mode': 'non_nested', 'no_of_tags': {'body': 1, 'footer': 2, 'h1': 2, 'h2': 2, 'head': 1, 'html': 1, 'p': 2, 'title': 2}}"
255,"<html>
<head>
<title>Title 1</title>
<title>Title 2</title>
<title>Title 3</title>
<title>Title 4</title>
</head>
<body>
<h1>Heading 1</h1>
<h1>Heading 2</h1>
<h1>Heading 3</h1>
<h1>Heading 4</h1>
<h2>Subheading 1</h2>
<h2>Subheading 2</h2>
<h2>Subheading 3</h2>
<h2>Subheading 4</h2>
<p>Paragraph 1</p>
<p>Paragraph 2</p>
<p>Paragraph 3</p>
<p>Paragraph 4</p>
<footer>Footer 1</footer>
<footer>Footer 2</footer>
<footer>Footer 3</footer>
<footer>Footer 4</footer>
</body>
</html>",0,"{'config': 'simple', 'mode': 'non_nested', 'no_of_tags': {'body': 1, 'footer': 4, 'h1': 4, 'h2': 4, 'head': 1, 'html': 1, 'p': 4, 'title': 4}}"
256,"<html>
<head>
<title>Title 1</title>
<title>Title 2</title>
<title>Title 3</title>
<title>Title 4</title>
<title>Title 5</title>
<title>Title 6</title>
<title>Title 7</title>
</head>
<body>
<h1>Heading 1</h1>
<h1>Heading 2</h1>
<h1>Heading 3</h1>
<h1>Heading 4</h1>
<h1>Heading 5</h1>
<h1>Heading 6</h1>
<h1>Heading 7</h1>
<h2>Subheading 1</h2>
<h2>Subheading 2</h2>
<h2>Subheading 3</h2>
<h2>Subheading 4</h2>
<h2>Subheading 5</h2>
<h2>Subheading 6</h2>
<h2>Subheading 7</h2>
<p>Paragraph 1</p>
<p>Paragraph 2</p>
<p>Paragraph 3</p>
<p>Paragraph 4</p>
<p>Paragraph 5</p>
<p>Paragraph 6</p>
<p>Paragraph 7</p>
<footer>Footer 1</footer>
<footer>Footer 2</footer>
<footer>Footer 3</footer>
<footer>Footer 4</footer>
<footer>Footer 5</footer>
<footer>Footer 6</footer>
<footer>Footer 7</footer>
</body>
</html>",0,"{'config': 'simple', 'mode': 'non_nested', 'no_of_tags': {'body': 1, 'footer': 7, 'h1': 7, 'h2': 7, 'head': 1, 'html': 1, 'p': 7, 'title': 7}}"
257,"<html_encoding>
<html>
<head>
<title>Title 1</title>
<title>Title 2</title>
<title>Title 3</title>
<title>Title 4</title>
<title>Title 5</title>
<title>Title 6</title>
<title>Title 7</title>
<title>Title 8</title>
</head>
<body>
<h1>Heading 1</h1>
<h1>Heading 2</h1>
<h1>Heading 3</h1>
<h1>Heading 4</h1>
<h1>Heading 5</h1>
<h1>Heading 6</h1>
<h1>Heading 7</h1>
<h1>Heading 8</h1>
<h2>Subheading 1</h2>
<h2>Subheading 2</h2>
<h2>Subheading 3</h2>
<h2>Subheading 4</h2>
<h2>Subheading 5</h2>
<h2>Subheading 6</h2>
<h2>Subheading 7</h2>
<h2>Subheading 8</h2>
<p>Paragraph 1</p>
<p>Paragraph 2</p>
<p>Paragraph 3</p>
<p>Paragraph 4</p>
<p>Paragraph 5</p>
<p>Paragraph 6</p>
<p>Paragraph 7</p>
<p>Paragraph 8</p>
<footer>Footer 1</footer>
<footer>Footer 2</footer>
<footer>Footer 3</footer>
<footer>Footer 4</footer>
<footer>Footer 5</footer>
<footer>Footer 6</footer>
<footer>Footer 7</footer>
<footer>Footer 8</footer>
</body>
</html>
</html_encoding>",1,"{'config': 'simple', 'mode': 'non_nested', 'no_of_tags': {'body': 1, 'footer': 8, 'h1': 8, 'h2': 8, 'head': 1, 'html': 1, 'p': 8, 'title': 8}}"
258,"<html_encoding>
<html>
<head>
<title>Title 1</title>
<title>Title 2</title>
<title>Title 3</title>
<title>Title 4</title>
<title>Title 5</title>
<title>Title 6</title>
<title>Title 7</title>
</head>
<body>
<h1>Heading 1</h1>
<h1>Heading 2</h1>
<h1>Heading 3</h1>
<h1>Heading 4</h1>
<h1>Heading 5</h1>
<h1>Heading 6</h1>
<h1>Heading 7</h1>
<h2>Subheading 1</h2>
<h2>Subheading 2</h2>
<h2>Subheading 3</h2>
<h2>Subheading 4</h2>
<h2>Subheading 5</h2>
<h2>Subheading 6</h2>
<h2>Subheading 7</h2>
<p>Paragraph 1</p>
<p>Paragraph 2</p>
<p>Paragraph 3</p>
<p>Paragraph 4</p>
<p>Paragraph 5</p>
<p>Paragraph 6</p>
<p>Paragraph 7</p>
<footer>Footer 1</footer>
<footer>Footer 2</footer>
<footer>Footer 3</footer>
<footer>Footer 4</footer>
<footer>Footer 5</footer>
<footer>Footer 6</footer>
<footer>Footer 7</footer>
</body>
</html>
</html_encoding>",1,"{'config': 'simple', 'mode': 'non_nested', 'no_of_tags': {'body': 1, 'footer': 7, 'h1': 7, 'h2': 7, 'head': 1, 'html': 1, 'p': 7, 'title': 7}}"
259,"<html_encoding>
<html>
<head>
<title>Title 1</title>
<title>Title 2</title>
<title>Title 3</title>
<title>Title 4</title>
<title>Title 5</title>
<title>Title 6</title>
<title>Title 7</title>
</head>
<body>
<h1>Heading 1</h1>
<h1>Heading 2</h1>
<h1>Heading 3</h1>
<h1>Heading 4</h1>
<h1>Heading 5</h1>
<h1>Heading 6</h1>
<h1>Heading 7</h1>
<h2>Subheading 1</h2>
<h2>Subheading 2</h2>
<h2>Subheading 3</h2>
<h2>Subheading 4</h2>
<h2>Subheading 5</h2>
<h2>Subheading 6</h2>
<h2>Subheading 7</h2>
<p>Paragraph 1</p>
<p>Paragraph 2</p>
<p>Paragraph 3</p>
<p>Paragraph 4</p>
<p>Paragraph 5</p>
<p>Paragraph 6</p>
<p>Paragraph 7</p>
<footer>Footer 1</footer>
<footer>Footer 2</footer>
<footer>Footer 3</footer>
<footer>Footer 4</footer>
<footer>Footer 5</footer>
<footer>Footer 6</footer>
<footer>Footer 7</footer>
</body>
</html>
</html_encoding>",1,"{'config': 'simple', 'mode': 'non_nested', 'no_of_tags': {'body': 1, 'footer': 7, 'h1': 7, 'h2': 7, 'head': 1, 'html': 1, 'p': 7, 'title': 7}}"
260,"<html>
<head>
<title>Title 1</title>
<title>Title 2</title>
<title>Title 3</title>
<title>Title 4</title>
<title>Title 5</title>
<title>Title 6</title>
<title>Title 7</title>
</head>
<body>
<h1>Heading 1</h1>
<h1>Heading 2</h1>
<h1>Heading 3</h1>
<h1>Heading 4</h1>
<h1>Heading 5</h1>
<h1>Heading 6</h1>
<h1>Heading 7</h1>
<h2>Subheading 1</h2>
<h2>Subheading 2</h2>
<h2>Subheading 3</h2>
<h2>Subheading 4</h2>
<h2>Subheading 5</h2>
<h2>Subheading 6</h2>
<h2>Subheading 7</h2>
<p>Paragraph 1</p>
<p>Paragraph 2</p>
<p>Paragraph 3</p>
<p>Paragraph 4</p>
<p>Paragraph 5</p>
<p>Paragraph 6</p>
<p>Paragraph 7</p>
<footer>Footer 1</footer>
<footer>Footer 2</footer>
<footer>Footer 3</footer>
<footer>Footer 4</footer>
<footer>Footer 5</footer>
<footer>Footer 6</footer>
<footer>Footer 7</footer>
</body>
</html>",0,"{'config': 'simple', 'mode': 'non_nested', 'no_of_tags': {'body': 1, 'footer': 7, 'h1': 7, 'h2': 7, 'head': 1, 'html': 1, 'p': 7, 'title': 7}}"
261,"<html>
<head>
<title>Title 1</title>
<title>Title 2</title>
<title>Title 3</title>
<title>Title 4</title>
</head>
<body>
<h1>Heading 1</h1>
<h1>Heading 2</h1>
<h1>Heading 3</h1>
<h1>Heading 4</h1>
<h2>Subheading 1</h2>
<h2>Subheading 2</h2>
<h2>Subheading 3</h2>
<h2>Subheading 4</h2>
<p>Paragraph 1</p>
<p>Paragraph 2</p>
<p>Paragraph 3</p>
<p>Paragraph 4</p>
<footer>Footer 1</footer>
<footer>Footer 2</footer>
<footer>Footer 3</footer>
<footer>Footer 4</footer>
</body>
</html>",0,"{'config': 'simple', 'mode': 'non_nested', 'no_of_tags': {'body': 1, 'footer': 4, 'h1': 4, 'h2': 4, 'head': 1, 'html': 1, 'p': 4, 'title': 4}}"
262,"<html_encoding>
<html>
<head>
<title>Title 1</title>
<title>Title 2</title>
<title>Title 3</title>
<title>Title 4</title>
<title>Title 5</title>
<title>Title 6</title>
<title>Title 7</title>
</head>
<body>
<h1>Heading 1</h1>
<h1>Heading 2</h1>
<h1>Heading 3</h1>
<h1>Heading 4</h1>
<h1>Heading 5</h1>
<h1>Heading 6</h1>
<h1>Heading 7</h1>
<h2>Subheading 1</h2>
<h2>Subheading 2</h2>
<h2>Subheading 3</h2>
<h2>Subheading 4</h2>
<h2>Subheading 5</h2>
<h2>Subheading 6</h2>
<h2>Subheading 7</h2>
<p>Paragraph 1</p>
<p>Paragraph 2</p>
<p>Paragraph 3</p>
<p>Paragraph 4</p>
<p>Paragraph 5</p>
<p>Paragraph 6</p>
<p>Paragraph 7</p>
<footer>Footer 1</footer>
<footer>Footer 2</footer>
<footer>Footer 3</footer>
<footer>Footer 4</footer>
<footer>Footer 5</footer>
<footer>Footer 6</footer>
<footer>Footer 7</footer>
</body>
</html>
</html_encoding>",1,"{'config': 'simple', 'mode': 'non_nested', 'no_of_tags': {'body': 1, 'footer': 7, 'h1': 7, 'h2': 7, 'head': 1, 'html': 1, 'p': 7, 'title': 7}}"
263,"<html>
<head>
<title>Title 1</title>
</head>
<body>
<h1>Heading 1</h1>
<h2>Subheading 1</h2>
<p>Paragraph 1</p>
<footer>Footer 1</footer>

<h1>Heading 2</h1>
<h2>Subheading 2</h2>
<p>Paragraph 2</p>
<footer>Footer 2</footer>

<h1>Heading 3</h1>
<h2>Subheading 3</h2>
<p>Paragraph 3</p>
<footer>Footer 3</footer>

<h1>Heading 4</h1>
<h2>Subheading 4</h2>
<p>Paragraph 4</p>
<footer>Footer 4</footer>

<h1>Heading 5</h1>
<h2>Subheading 5</h2>
<p>Paragraph 5</p>
<footer>Footer 5</footer>

<h1>Heading 6</h1>
<h2>Subheading 6</h2>
<p>Paragraph 6</p>
<footer>Footer 6</footer>

<h1>Heading 7</h1>
<h2>Subheading 7</h2>
<p>Paragraph 7</p>
<footer>Footer 7</footer>

<h1>Heading 8</h1>
<h2>Subheading 8</h2>
<p>Paragraph 8</p>
<footer>Footer 8</footer>

<h1>Heading 9</h1>
<h2>Subheading 9</h2>
<p>Paragraph 9</p>
<footer>Footer 9</footer>
</body>
</html>",0,"{'config': 'simple', 'mode': 'non_nested', 'no_of_tags': {'body': 1, 'footer': 9, 'h1': 9, 'h2': 9, 'head': 1, 'html': 1, 'p': 9, 'title': 9}}"
264,"<html_encoding>
<html>
<head>
<title>Title 1</title>
<title>Title 2</title>
<title>Title 3</title>
</head>
<body>
<h1>Heading 1</h1>
<h1>Heading 2</h1>
<h1>Heading 3</h1>
<h2>Subheading 1</h2>
<h2>Subheading 2</h2>
<h2>Subheading 3</h2>
<p>Paragraph 1</p>
<p>Paragraph 2</p>
<p>Paragraph 3</p>
<footer>Footer 1</footer>
<footer>Footer 2</footer>
<footer>Footer 3</footer>
</body>
</html>
</html_encoding>",1,"{'config': 'simple', 'mode': 'non_nested', 'no_of_tags': {'body': 1, 'footer': 3, 'h1': 3, 'h2': 3, 'head': 1, 'html': 1, 'p': 3, 'title': 3}}"
265,"<html>
<head>
<title>Title 1</title>
<title>Title 2</title>
<title>Title 3</title>
<title>Title 4</title>
<title>Title 5</title>
<title>Title 6</title>
</head>
<body>
<h1>Heading 1</h1>
<h1>Heading 2</h1>
<h1>Heading 3</h1>
<h1>Heading 4</h1>
<h1>Heading 5</h1>
<h1>Heading 6</h1>
<h2>Subheading 1</h2>
<h2>Subheading 2</h2>
<h2>Subheading 3</h2>
<h2>Subheading 4</h2>
<h2>Subheading 5</h2>
<h2>Subheading 6</h2>
<p>Paragraph 1</p>
<p>Paragraph 2</p>
<p>Paragraph 3</p>
<p>Paragraph 4</p>
<p>Paragraph 5</p>
<p>Paragraph 6</p>
<footer>Footer 1</footer>
<footer>Footer 2</footer>
<footer>Footer 3</footer>
<footer>Footer 4</footer>
<footer>Footer 5</footer>
<footer>Footer 6</footer>
</body>
</html>",0,"{'config': 'simple', 'mode': 'non_nested', 'no_of_tags': {'body': 1, 'footer': 6, 'h1': 6, 'h2': 6, 'head': 1, 'html': 1, 'p': 6, 'title': 6}}"
266,"<html>
<head>
<title>Title 1</title>
<title>Title 2</title>
</head>
<body>
<h1>Heading 1</h1>
<h1>Heading 2</h1>
<h2>Subheading 1</h2>
<h2>Subheading 2</h2>
<p>Paragraph 1</p>
<p>Paragraph 2</p>
<footer>Footer 1</footer>
<footer>Footer 2</footer>
</body>
</html>",0,"{'config': 'simple', 'mode': 'non_nested', 'no_of_tags': {'body': 1, 'footer': 2, 'h1': 2, 'h2': 2, 'head': 1, 'html': 1, 'p': 2, 'title': 2}}"
267,"<html>
<head>
<title>Title 1</title>
<title>Title 2</title>
</head>
<body>
<h1>Heading 1</h1>
<h1>Heading 2</h1>
<h2>Subheading 1</h2>
<h2>Subheading 2</h2>
<p>Paragraph 1</p>
<p>Paragraph 2</p>
<footer>Footer 1</footer>
<footer>Footer 2</footer>
</body>
</html>",0,"{'config': 'simple', 'mode': 'non_nested', 'no_of_tags': {'body': 1, 'footer': 2, 'h1': 2, 'h2': 2, 'head': 1, 'html': 1, 'p': 2, 'title': 2}}"
268,"<html>
<head>
<title>Title 1</title>
<title>Title 2</title>
<title>Title 3</title>
<title>Title 4</title>
<title>Title 5</title>
<title>Title 6</title>
</head>
<body>
<h1>Heading 1</h1>
<h1>Heading 2</h1>
<h1>Heading 3</h1>
<h1>Heading 4</h1>
<h1>Heading 5</h1>
<h1>Heading 6</h1>
<h2>Subheading 1</h2>
<h2>Subheading 2</h2>
<h2>Subheading 3</h2>
<h2>Subheading 4</h2>
<h2>Subheading 5</h2>
<h2>Subheading 6</h2>
<p>Paragraph 1</p>
<p>Paragraph 2</p>
<p>Paragraph 3</p>
<p>Paragraph 4</p>
<p>Paragraph 5</p>
<p>Paragraph 6</p>
<footer>Footer 1</footer>
<footer>Footer 2</footer>
<footer>Footer 3</footer>
<footer>Footer 4</footer>
<footer>Footer 5</footer>
<footer>Footer 6</footer>
</body>
</html>",0,"{'config': 'simple', 'mode': 'non_nested', 'no_of_tags': {'body': 1, 'footer': 6, 'h1': 6, 'h2': 6, 'head': 1, 'html': 1, 'p': 6, 'title': 6}}"
